dis=0, v=0, a_actual=200, time_point=0
x=0.00930208, y=0.00930208, z=-18.0047
x=0.00990208, y=0.00990208, z=-18.38
x=0.0105273, y=0.0105273, z=-18.7553
x=0.0111784, y=0.0111784, z=-19.1306
x=0.0118557, y=0.0118557, z=-19.5059
x=0.0125599, y=0.0125599, z=-19.8813
x=0.0132914, y=0.0132914, z=-20.2566
x=0.0140508, y=0.0140508, z=-20.632
x=0.0148385, y=0.0148385, z=-21.0074
x=0.0156552, y=0.0156552, z=-21.3828
x=0.0165013, y=0.0165013, z=-21.7583
x=0.0173773, y=0.0173773, z=-22.1337
x=0.0182839, y=0.0182839, z=-22.5091
x=0.0192214, y=0.0192214, z=-22.8846
x=0.0201904, y=0.0201904, z=-23.2601
x=0.0211914, y=0.0211914, z=-23.6356
x=0.022225, y=0.022225, z=-24.0111
x=0.0232917, y=0.0232917, z=-24.3866
x=0.0243919, y=0.0243919, z=-24.7622
x=0.0255263, y=0.0255263, z=-25.1378
x=0.0266953, y=0.0266953, z=-25.5133
x=0.0278995, y=0.0278995, z=-25.8889
x=0.0291393, y=0.0291393, z=-26.2646
x=0.0304154, y=0.0304154, z=-26.6402
x=0.0317281, y=0.0317281, z=-27.0159
x=0.0330781, y=0.0330781, z=-27.3915
x=0.0344659, y=0.0344659, z=-27.7672
x=0.0358919, y=0.0358919, z=-28.1429
x=0.0373568, y=0.0373568, z=-28.5187
x=0.0388609, y=0.0388609, z=-28.8944
x=0.0404049, y=0.0404049, z=-29.2702
x=0.0419893, y=0.0419893, z=-29.646
x=0.0436146, y=0.0436146, z=-30.0218
x=0.0452813, y=0.0452813, z=-30.3976
x=0.0469898, y=0.0469898, z=-30.7735
x=0.0487409, y=0.0487409, z=-31.1494
x=0.0505349, y=0.0505349, z=-31.5253
x=0.0523724, y=0.0523724, z=-31.9012
x=0.0542539, y=0.0542539, z=-32.2771
x=0.0561799, y=0.0561799, z=-32.6531
x=0.058151, y=0.058151, z=-33.0291
x=0.0601677, y=0.0601677, z=-33.4051
x=0.0622305, y=0.0622305, z=-33.7811
x=0.0643398, y=0.0643398, z=-34.1572
x=0.0664964, y=0.0664964, z=-34.5332
x=0.0687005, y=0.0687005, z=-34.9094
x=0.0709529, y=0.0709529, z=-35.2855
x=0.0732539, y=0.0732539, z=-35.6616
x=0.0756042, y=0.0756042, z=-36.0378
x=0.0780042, y=0.0780042, z=-36.414
x=0.0804544, y=0.0804544, z=-36.7902
x=0.0829555, y=0.0829555, z=-37.1665
x=0.0855078, y=0.0855078, z=-37.5428
x=0.088112, y=0.088112, z=-37.9191
x=0.0907685, y=0.0907685, z=-38.2954
x=0.0934779, y=0.0934779, z=-38.6717
x=0.0962406, y=0.0962406, z=-39.0481
x=0.0990573, y=0.0990573, z=-39.4245
x=0.101928, y=0.101928, z=-39.801
x=0.104854, y=0.104854, z=-40.1774
x=0.107836, y=0.107836, z=-40.5539
x=0.110873, y=0.110873, z=-40.9304
x=0.113967, y=0.113967, z=-41.307
x=0.117118, y=0.117118, z=-41.6836
x=0.120327, y=0.120327, z=-42.0602
x=0.123594, y=0.123594, z=-42.4368
x=0.126919, y=0.126919, z=-42.8135
x=0.130303, y=0.130303, z=-43.1902
x=0.133747, y=0.133747, z=-43.5669
x=0.137252, y=0.137252, z=-43.9436
x=0.140816, y=0.140816, z=-44.3204
x=0.144442, y=0.144442, z=-44.6972
x=0.14813, y=0.14813, z=-45.0741
x=0.152172, y=0.152172, z=-45.4511
x=0.156568, y=0.156568, z=-45.8283
x=0.161318, y=0.161318, z=-46.2057
x=0.166422, y=0.166422, z=-46.5832
x=0.17188, y=0.17188, z=-46.9609
x=0.177693, y=0.177693, z=-47.3388
x=0.183859, y=0.183859, z=-47.7169
x=0.19038, y=0.19038, z=-48.0952
x=0.197255, y=0.197255, z=-48.4736
x=0.204484, y=0.204484, z=-48.8522
x=0.212068, y=0.212068, z=-49.231
x=0.220005, y=0.220005, z=-49.61
x=0.228297, y=0.228297, z=-49.9891
x=0.236943, y=0.236943, z=-50.3685
x=0.245943, y=0.245943, z=-50.748
x=0.255297, y=0.255297, z=-51.1276
x=0.265005, y=0.265005, z=-51.5075
x=0.275068, y=0.275068, z=-51.8875
x=0.285484, y=0.285484, z=-52.2677
x=0.296255, y=0.296255, z=-52.6481
x=0.30738, y=0.30738, z=-53.0287
x=0.318859, y=0.318859, z=-53.4094
x=0.330693, y=0.330693, z=-53.7903
x=0.34288, y=0.34288, z=-54.1714
x=0.355422, y=0.355422, z=-54.5527
x=0.368318, y=0.368318, z=-54.9342
x=0.381568, y=0.381568, z=-55.3158
x=0.395172, y=0.395172, z=-55.6976
x=0.40913, y=0.40913, z=-56.0796
x=0.423443, y=0.423443, z=-56.4617
x=0.438109, y=0.438109, z=-56.8441
x=0.45313, y=0.45313, z=-57.2266
x=0.468505, y=0.468505, z=-57.6093
x=0.484234, y=0.484234, z=-57.9921
x=0.500318, y=0.500318, z=-58.3752
x=0.516755, y=0.516755, z=-58.7584
x=0.533547, y=0.533547, z=-59.1418
x=0.550693, y=0.550693, z=-59.5253
x=0.568193, y=0.568193, z=-59.9091
x=0.586047, y=0.586047, z=-60.293
x=0.604255, y=0.604255, z=-60.6771
x=0.622818, y=0.622818, z=-61.0614
x=0.641734, y=0.641734, z=-61.4459
x=0.661005, y=0.661005, z=-61.8305
x=0.68063, y=0.68063, z=-62.2153
x=0.700609, y=0.700609, z=-62.6003
x=0.720943, y=0.720943, z=-62.9855
x=0.74163, y=0.74163, z=-63.3708
x=0.762672, y=0.762672, z=-63.7563
x=0.784068, y=0.784068, z=-64.142
x=0.805818, y=0.805818, z=-64.5279
x=0.827922, y=0.827922, z=-64.914
x=0.85038, y=0.85038, z=-65.3002
x=0.873193, y=0.873193, z=-65.6866
x=0.896359, y=0.896359, z=-66.0732
x=0.91988, y=0.91988, z=-66.4599
x=0.943755, y=0.943755, z=-66.8469
x=0.967984, y=0.967984, z=-67.234
x=0.992568, y=0.992568, z=-67.6213
x=1.01751, y=1.01751, z=-68.0088
